序号,一级意图,二级意图,经验知识,商品品类,问题,标准答案
57,商品咨询与推荐,商品属性咨询,水性木器漆提供免费调色服务，采用电脑控制比例工厂机器调色，到货即为所需颜色,木器修缮,木器漆的调色服务怎么弄？,您好！立邦水性木器漆提供专业的免费调色服务。调色流程如下：1）选择颜色：从色卡中选择您喜欢的颜色编号；2）下单备注：在订单中备注所选颜色编号；3）工厂调色：采用电脑控制比例，由工厂专业机器调配，确保颜色准确一致；4）直接发货：调好的颜色直接发出，到货就是您要的颜色，无需自己调配。色卡提供多种颜色选择，包括珍珠白、象牙白等常用色系。
58,商品咨询与推荐,商品属性咨询,木质材料涂装前需要打磨平整，确保涂料附着力，木蜡油和木器漆都需要这一前置步骤,木器修缮,木质家具涂刷木器漆前为什么要打磨？,您好，木质家具涂刷木器漆前需要先打磨平整。打磨的目的是去除表面毛刺和旧漆膜，增加新漆的附着力，确保涂刷效果更好更持久。如果不打磨直接涂刷，漆膜可能附着不牢，容易脱落。建议使用砂纸将表面打磨至粗糙状态，清理干净灰尘后再进行涂刷。
59,商品咨询与推荐,商品属性咨询,木蜡油主要功能是养护提亮木材，可防止木材老化开裂、光泽减退，保留木材本色,木器修缮,木蜡油的主要功能是什么？,亲亲您好，木蜡油的主要功能是养护提亮木材。它适用于木门、木桌、木柜等木质家具，可以有效防止木材老化开裂、光泽减退、脱皮掉漆等问题，增光增亮，凸显木材本色。
60,商品咨询与推荐,商品属性咨询,,木器修缮,木器漆能防潮防水防霉吗？,亲亲您好，木器漆本身有耐水性，可以保护木材和家具不发霉哦~
61,商品咨询与推荐,商品属性咨询,,木器修缮,木器漆有检测报告吗？是不是环保无害的？,咱们的木器漆是水性的，很环保，VOC和甲醛均是未检出的，对人体无害的哦~[发送木器漆检测报告]
62,商品咨询与推荐,商品属性咨询,,木器修缮,木器漆开封后怎么保存？,亲亲，木器漆开封后未兑水可重新密封保存，兑水后需 3 天内用完~
63,商品咨询与推荐,商品属性咨询,,木器修缮,刷了木器漆之后的家具可以擦洗吗,您好，使用木器漆上漆的家具可以用稀释的肥皂水轻微擦洗，但频繁或用力擦洗会逐渐破坏油膜哦~
64,商品咨询与推荐,商品属性咨询,,木器修缮,木器漆刷完多久能干？,您好，这款木器漆表干30分钟、实干3小时，24小时左右彻底干燥哦~建议您养护7天以上，期间尽量避免重压、磕碰哦~
65,商品咨询与推荐,商品属性咨询,,木器修缮,木器漆是用什么材质做的？家里有小孩老人能用吗？,木器漆采取丙烯酸乳胶材质制作，水性配方符合国家安全标准，具有美国 FDA 认证、欧盟玩具标准等认证，家里有小孩老人都可以放心使用的~
66,商品咨询与推荐,商品属性咨询,,木器修缮,木器漆的执行标准是什么？,木器漆的执行标准是GB 18581-2020哦~[发送木器漆检测报告]
67,商品咨询与推荐,商品属性咨询,,木器修缮,木器漆有几种规格？,邦友，这款木器漆有0.5kg、1kg、2.5kg三种规格可选哦，1kg及以上规格可免费调色哦~
68,商品咨询与推荐,商品属性咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
买木器漆会送哪些工具？","购买水性木器漆，会赠送实用工具包！助您轻松上手~（每个ID/1套）

赠品明细：4寸滚筒、3寸弹性丝刷一把、1.8cm*12m美纹纸一卷、400目11.5*13.5砂纸一张、一次性手套一副、2.5kg加赠一卷保护膜。"
69,商品咨询与推荐,商品属性咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
木器漆的生产日期在哪里看？是不是最近生产的？",我们的生产日期都显示在产品合格证上，销售的都是在保质期内的，一般都是最近几个月的哦~
70,商品咨询与推荐,商品属性咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
木器漆是否防滑？",您好，木器漆半哑光质感，整体不是更滑，但是不建议再经常踩踏的木质产品上施工哦~
71,商品咨询与推荐,商品属性咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
木器漆的VOC含量高吗？里面没什么有害物质吧？",甲醛是未检出的哈，立邦产品采用环保材质，安全无害，您可以放心使用~
72,商品咨询与推荐,商品属性咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
木器漆能耐高温吗？比如碰到热水或者短时间接触热的东西行不行？",您好，木器漆耐水、耐热性能较好，可用于瞬时或短时接触高温液体的场景，但并不适用于长期持续暴露在明火、烤箱或极高温度热源旁的环境。
73,商品咨询与推荐,商品属性咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
这款木器漆能用在哪些地方刷？",这款木器漆只要是木质的家具都可以用来改色涂刷哦。
74,商品咨询与推荐,商品属性咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
木器漆怎么选颜色比较好看？",邦友，我们整理了热门木器漆色彩搭配灵感，有不同风格的组合，您可以参考下哦https://s.tb.cn/c.0D6wqO
75,商品咨询与推荐,商品属性咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
木器漆的保质期是多久？",水性木器漆未拆封保质期是18个月哦~
76,商品咨询与推荐,商品属性咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
这款木器漆环保吗？家里有小孩和老人能用吗？",这款木器漆通过了美国FDA认证和欧盟玩具标准认证，符合国家安全标准，家里有小孩老人都可以放心使用哦~
77,商品咨询与推荐,商品属性咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
木器漆可以调色吗？","邦友，规格1Kg以上木器漆支持【免费调色】的~下单后联系人工客服备注色号哦~
点击查看色卡：【https://s.tb.cn/c.0wCNHz】"
78,商品咨询与推荐,商品属性咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
刷了木器漆多久能入住？",这款木器漆即刷即住不影响入住时间哦~建议您涂刷后自然风干，干燥后基本无味，通风即可~，但是为了漆膜达到最佳性能，建议进行7天的漆膜保养，之后再使用。
79,商品咨询与推荐,商品属性咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
木器漆有什么功效和功能？",这款木器漆主要用于木质家具、柜子等的翻新改色哦~它防晒耐干热，能有效耐黄变耐污，遮盖力也很不错呢~
80,商品咨询与推荐,商品属性咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
木器漆的光泽是哑光还是亮光的？",邦友，木器漆光泽是半哑光的~ 颜色上，不会像亮光那样反射过多的光线导致眩光，也不会像哑光那样显得过于沉闷哦~
81,商品咨询与推荐,商品效果预期,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
这款木器漆时间久了会不会变色或者有色差？",亲亲～木器漆在正常使用和施工规范的情况下不会短期内变色或产生明显色差。但若长期处于强紫外线照射、潮湿环境，或不同批次、不同施工次数未充分搅拌、间隔时间过长施工，可能会出现轻微色差或泛黄现象。建议施工前充分搅拌、同一面尽量使用同批次产品，并避免长期暴晒和受潮，可有效降低变色和色差风险。
82,商品咨询与推荐,商品效果预期,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
木器漆覆盖效果好吗？",高遮盖的哦，这款具有出色的遮盖及防黄抗污能力，环保无异味。如果底材颜色比较深，也可以刷3-4遍，效果更好。
83,商品咨询与推荐,商品用量咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
一公斤木器漆刷多少平方？",亲亲，1kg可以涂刷5-6平米左右的，木器漆色卡您看下哈~https://s.tb.cn/c.0wCNHz
84,商品咨询与推荐,商品用量咨询,,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
木器漆一桶能刷多大面积？",邦友，一桶0.5kg的木器漆大概可以施工5-6 平方左右（1 遍），一桶1kg的木器漆大概可以施工10-12 平方左右（1 遍），具体用量可以根据您的施工面积选择哦~浅色基材可以少刷几遍，深色基材要多刷几遍色彩更鲜艳。
85,商品咨询与推荐,商品选型,原木家具涂装选择木蜡油可保留原木纹理，选择木器漆可改色翻新，根据最终效果需求选择产品类型,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
原木窗户刷透明漆选木蜡油还是木器漆？",亲亲您好，原木窗户如果只是想养护保留原木色，可以选择透明色的木蜡油，能保留木材原色和自然纹理。如果需要改色或增加漆膜保护，可以选择水性木器漆，也有透明色可选。两者区别在于：木蜡油渗透型养护，保留木材质感；木器漆成膜型保护，漆膜更硬更耐磨。施工前都需要先打磨平整，这样出来的效果会好很多。
86,商品咨询与推荐,商品选型,原木柜子改色翻新可以使用水性木器漆，遮盖力强，颜色选择丰富，能轻松盖住旧色,木器修缮,"https://detail.tmall.com/item.htm?id=684081098522
原木柜子想要改颜色选木器漆吗？",亲亲您好，原木柜子改色翻新建议使用水性木器漆。它的遮盖力强，颜色选择丰富，能轻松盖住旧色，实现更好的翻新效果。如果原柜子表面有漆膜，施工前需要先打磨处理，增加新漆的附着力。水性木器漆环保无异味，室内使用更安心。
87,商品咨询与推荐,商品选型,保留原木色选择透明款水性木器漆，能透出木纹质感，耐干热又耐水,木器修缮,想保留原木色应该选什么木器漆？,亲亲您好，想保留原木色就选透明款的水性木器漆，能透出木纹质感，耐干热又耐水。透明款可以展现木材的天然美感和纹理，同时提供保护层。如果需要改色，则选择有色款。
88,商品咨询与推荐,商品选型,原木家具保留自然纹理选择透明木蜡油，需要改色或遮盖旧色选择有色木器漆，根据最终效果需求选择产品类型,木器修缮,原木家具涂装选木蜡油还是木器漆？,亲亲您好，原木家具涂装产品的选择取决于您想要的最终效果。木蜡油是透明的，施工后保留木材原色和自然纹理，适合想要展现木材天然美感的情况。木器漆则有多种颜色可选，遮盖力强，适合需要改色或遮盖旧色的翻新场景。简单来说：想保留原木色选木蜡油，想改色或统一颜色选木器漆。
89,商品咨询与推荐,适用场景匹配,水性木器漆适合刷书桌等木质家具，净味环保干得快，有划痕的家具需先打磨再涂刷,木器修缮,木器漆可以用来刷书桌吗？,亲亲您好，水性木器漆可以用来刷书桌这类木质家具，净味环保，刷完干得快。如果书桌有划痕和笔迹，先用砂纸轻轻打磨一下划痕处，笔迹也能一并处理掉，之后直接刷漆就行。这款漆遮盖力强，能有效覆盖瑕疵。
90,商品咨询与推荐,商品使用方法,乳胶漆调色需要在下单后备注调色信息，包括产品名称、规格、色号编码、色号名称和调色数量，调色产品为私人订制不支持退换,面漆,乳胶漆调色怎么弄啊？,您好，乳胶漆调色需要注意以下几点：1.下单后需联系客服备注调色信息，包括产品名称+规格+色号编码+色号名称+调色数量；2.不备注默认发白漆不调色；3.调色是一桶一色，机器调色后发货，不单独发色浆；4.由于屏幕分辨率、光线、兑水比例等因素，可能存在轻微色差；
91,商品咨询与推荐,商品使用方法,乳胶漆施工建议面漆搭配底漆使用，底漆能增强面漆附着力和遮盖效果，套装通常包含2桶面漆和1桶底漆,面漆,乳胶漆施工要搭配底漆使用吗？,您好，乳胶漆施工建议面漆搭配底漆使用，效果更好。底漆的主要作用是：1.增强面漆的附着力，使涂层更牢固；2.封闭墙面基层，防止碱性物质渗出影响面漆；3.提高面漆的遮盖效果，使颜色更均匀饱满。如果只购买面漆，建议另外搭配底漆。套装产品一般包含2桶面漆和1桶底漆，底漆不需要调色。这是乳胶漆的施工教程视频，您可以参考哦https://cloud.video.taobao.com/vod/Z2UBvKg9h9t6GSNelxr8bYsc-Oc-3qTy1p7y_x9f8LU.mp4
92,商品咨询与推荐,商品用量咨询,,面漆,面漆用量怎么算啊？,亲亲，面漆用量一般涂刷面积来计算。这款立邦面漆通常每升可刷约 10–12㎡（一遍），实际施工一般需要刷 2 遍。[发送面漆用量推荐图片]
93,商品咨询与推荐,商品对比,,面漆,"https://detail.tmall.com/item.htm?id=656929593704
八合一面漆有什么区别",亲亲，八合一面漆的区别主要在功能侧重点。整体基础性能相同，都具备耐擦洗、抗菌、防霉等功能；不同系列主要差在抗污能力和甲醛净化能力：偏抗污、好打理的更适合日常居住；主打抗甲醛、空气净化的更适合新装修或对环保要求高的家庭，可根据自身需求选择即可。[发送八合一面漆商品对比图]
94,商品咨询与推荐,商品对比,,面漆,"https://detail.tmall.com/item.htm?id=600814453130
五合一面漆有什么区别？",亲亲，五合一面漆不同系列主要强化的功能不一样：有的更侧重抗污、好打理，适合日常居住；有的主打抗甲醛、空气净化，更适合新装修或对环保要求高的家庭；还有的在防霉、防潮方面表现更突出，适合潮湿环境。可以根据家里实际需求和使用场景来选择即可。[发送五合一面漆商品对比图]
95,商品咨询与推荐,商品属性咨询,,面漆,"https://detail.tmall.com/item.htm?id=656929593704
不同产品系列的调色有什么区别？",亲亲您好，线上乳胶漆面漆调色支持立邦色卡中色号结尾为-4的颜色。如果您选择Color 1988系列产品，则可以调-1/-2/-3/-4的所有颜色，调色范围更广。建议您先确认想要的颜色色号是否在可调范围内，再进行下单。另外，底漆不调色，如购买套装一般为2桶面漆+1桶底漆，需确认备注清楚调色桶数。
96,商品咨询与推荐,商品属性咨询,乳胶漆线上调色支持立邦色卡中色号结尾为-4的颜色，Color 1988系列可调-1/-2/-3/-4的所有颜色,面漆,"https://detail.tmall.com/item.htm?id=656929593704
乳胶漆线上调色支持哪些颜色？",亲亲您好，线上乳胶漆面漆调色支持立邦色卡中色号结尾为-4的颜色。如果您选择Color 1988系列产品，则可以调-1/-2/-3/-4的所有颜色，调色范围更广。建议您先确认想要的颜色色号是否在可调范围内，再进行下单。另外，底漆不调色，如购买套装一般为2桶面漆+1桶底漆，需确认备注清楚调色桶数。
97,商品咨询与推荐,商品效果预期,乳胶漆刷完后通风干燥即可入住，净味环保产品干燥快，无需长时间等待,面漆,"https://detail.tmall.com/item.htm?id=656929593704
内墙乳胶漆刷完多久可以住？",亲亲您好，我们的内墙乳胶漆是净味环保产品，刷完后通风干燥即可入住。产品VOC低于国家标准，甲醛未检出，可以放心使用。一般情况下，漆膜需要7天的时间才能达到最佳性能，建议在漆膜达到最佳性能后再入住。
98,商品咨询与推荐,适用场景匹配,,面漆,"https://detail.tmall.com/item.htm?id=45704449463
面漆可以涂儿童房吗？",亲亲可以的，咱们家有专门的儿童面漆，您可以看看哦～https://detail.tmall.com/item.htm?id=45704449463
99,商品咨询与推荐,商品选型,墙面翻新大面积涂刷推荐荷净抗甲醛全效或云净儿童漆，环保耐用适合家庭使用,面漆,"https://detail.tmall.com/item.htm?id=45704449463
墙面大面积翻新选哪款乳胶漆？家里有小孩",您好，墙面翻新大面积涂刷推荐荷净抗甲醛全效或云净儿童漆。这两款都是环保耐用的产品，适合家庭使用。如果家里有小孩或对甲醛比较在意，建议选择云净儿童漆，环保等级更高，更适合儿童房使用。这是商品链接哦～https://detail.tmall.com/item.htm?id=45704449463&skuId=5930767314582
100,商品咨询与推荐,商品使用方法,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖防水修复是用喷涂还是滚涂？",免砸砖不支持喷涂的哈，需要用刷子刷涂，我们是有搭配的刷子
101,商品咨询与推荐,商品使用方法,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖涂料怎么用啊？",亲亲您好，施工时需要注意：1.先清洁瓷砖表面，保持干燥施工；2.涂刷后等待干透再使用卫生间；3.这款产品防水效果可保持8-12年左右。适用于淋浴间、厕所等瓷砖区域的防水处理。聚脲款免砸砖施工教程您可以参考哦～https://cloud.video.taobao.com/vod/xV9C4T8ziNDUBtHwXr-2pdwPwPTaox-rBUujgEAcwek.mp4
102,商品咨询与推荐,商品使用方法,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖施工后需要注意些什么？",亲亲，施工完后静置24小时以上，待其干透。干燥期间保持通风，禁止踩踏磕碰
103,商品咨询与推荐,商品使用方法,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖怎么用？是不是只刷瓷砖缝就行？",亲亲，免砸砖涂刷时建议瓷砖表面连瓷砖缝隙都要涂刷到位哦~单单涂刷缝隙无法达到良好的防水效果哦~如果只刷瓷砖缝后期也容易起皮脱落。
104,商品咨询与推荐,商品使用方法,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖是否需要找平，要涂多厚",亲亲，免砸砖具有自流平的功能，但是不建议作为专业找平的涂料。免砸砖合适用于室内瓷砖地面的防水修补，施工厚度在0.2毫米左右，并无厚度的严格要求。但是过厚的涂层情况可能不容易干燥哦~
105,商品咨询与推荐,商品使用方法,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖防水修复涂完塑钢泥后，能马上继续刷另一个商品吗？",亲，建议塑钢泥完全固化后再使用这款防水胶哦，一般需要等待24小时以上呢~
106,商品咨询与推荐,商品使用方法,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖涂刷时，是不是只刷瓷砖缝隙就可以了？",亲亲，免砸砖涂刷时建议瓷砖表面连瓷砖缝隙都要涂刷到位哦~单单涂刷缝隙无法达到良好的防水效果哦，如果缝隙过大或者美缝脱落，需要先修补缝隙后再涂刷呢
107,商品咨询与推荐,商品使用方法,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖防水修复施工对温度有什么要求？",一般施工的天气温度不要低于5度，不要高于35度；阴雨天不要施工；施工湿度不要超过85%。
108,商品咨询与推荐,商品对比,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖防水修复有哪几种类型，它们之间有什么区别？","免砸砖防水（室内基础款）：亮光质感，适用于瓷砖、大理石地面。适合室内无阳光直射的厨房，卫生间，淋浴间，阳光直射易黄变。[发送免砸砖商品对比图]

聚脲免砸砖防水：仅瓷砖地面使用。亮光质感，可以用于阳光直射的位置，如阳台，卫生间，室外瓷砖地面，具有耐腐蚀效果

单组份免砸砖防水（强烈推荐）：哑光质感，瓷砖地面室内外通用，无需混合，可用于泳池，池塘这些长期泡水环境。耐腐蚀耐酸碱。
~[发送免砸砖商品对比图]"
109,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖能调色吗？会不会改变瓷砖原来的颜色？",亲亲，免砸砖都是透明色的哦，不会影响瓷砖本身的颜色呢~
110,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖防水做完多久能入住？",亲亲，施工完后静置24小时以上，待其干透。干燥期间保持通风，不要踩踏磕碰，干燥后就可以正常使用啦~
111,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
单组分免砸砖是什么材料啊",原料为新型高分子材料，非丙烯酸
112,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖防水修复环保吗？",亲亲，这款是安全环保的哦~立邦严格按照国家标准生产，指标都远低于国家标准，您和家人可以放心使用呢~
113,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖防水修复能耐高温吗？",邦友，免砸砖耐高温60℃，抗低温-20℃，淋浴房等温度变化比较频繁的区域也是坚固耐用的，放心购买哦~
114,商品咨询与推荐,商品属性咨询,免砸砖防水涂料适用于瓷砖地面防水，不适用于水泥地面直接涂刷,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖涂料可以直接涂水泥地吗？",亲亲您好，免砸砖防水涂料主要适用于瓷砖地面的防水处理，适合卫生间、阳台等已铺贴瓷砖的区域。这款产品不建议直接涂在水泥地面上。如果是水泥地面需要防水，建议选择屋顶防水胶等专门针对水泥基面设计的防水产品，效果更好。
115,商品咨询与推荐,商品属性咨询,免砸砖防水涂料适用于室内厨房、卫生间等瓷砖地面防水，可处理地砖缝隙渗水或局部漏水点,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖防水涂料可以用哪些地方？",亲亲您好，免砸砖防水涂料主要适用于室内厨房、卫生间等瓷砖地面的防水处理。可以解决地砖缝隙渗水或局部漏水点问题。卫生间地面使用基础款免砸砖就能满足防水需求，涂一遍干透后即可有效防渗水。施工简单，无需砸砖，自己动手就能完成。
116,商品咨询与推荐,商品属性咨询,免砸砖防水涂料化学成分主要是环氧树脂+固化剂，无色透明、安全环保、不透水、浸水不发白、耐污耐磨损,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖涂料的有哪些成分？",亲亲您好，双组份免砸砖防水涂料的化学成分主要是环氧树脂+固化剂，具有以下特性：无色透明、安全环保、不透水性好、浸水不发白、耐污耐磨损。无需砸砖修补，可以直接涂刷在瓷砖表面，解决室内厨房、卫生间等瓷砖地面的防水问题，施工简单方便。
117,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948&skuId=5966617318364
聚脲免砸砖是单组份吗？",聚脲免砸砖是AB双组份天冬聚脲树脂+固化剂。使用时需要将AB组分充分搅拌均匀后，刷在地面。
118,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖防水涂料会改变瓷砖的颜色吗？",亲亲，免砸砖都是透明色的哦，不会影响瓷砖本身的颜色呢~
119,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖做完要等多久才能干？",亲亲，免砸砖施工后需要静置24-48小时干燥哦，干燥后就可以正常使用啦~
120,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948&skuId=5967860619077
单组分免砸砖开封后保质期多久？","单组分免砸砖开封后半年内都可以使用。也可分次使用，请按照以下方法操作确保最佳效果。
1、开封后处理：开封使用后，请将瓶内因接触空气而形成的固化薄膜完整挑出，瓶内剩余产品可继续正常使用。
2、密封保存： 务必将瓶盖拧紧，以防产品与空气接触而固化。
3、使用期限：为确保最佳性能，建议您在开封后半年内使用完毕。"
121,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖的防滑性能怎么样？",亲亲，免砸砖是具有一定优秀防滑能力的，但是涂刷时需要瓷砖缝连带瓷砖面通刷哦~单刷瓷砖缝效果可能不会很好哦~
122,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖适用在哪些材质上？",亲亲，免砸砖合适用于室内地面瓷砖表面的防水修补，常见瓷砖例如抛光砖、玻化砖、釉面砖、通体砖、瓷质砖、马赛克等都可以用的。目前不适用于墙面、大理石表面及长期阳光直射的室外区域，也不适用于木材或者金属表面。请问您是需要在哪个位置坐防水呢，是厨房卫生间，还是其他位置呀？
123,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖防水能和瓷砖漆搭配使用吗？",免砸砖防水也是需要施工瓷砖表面哈，有漆面附着效果不好呢，暂时不支持搭配瓷砖漆使用哦
124,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖涂料的材料耐擦洗吗？日常清洁会不会容易坏？",亲，免砸砖防水干燥成膜后坚固耐用，通过48h刮花测试，耐擦洗性很好哦，日常清洁完全没问题，防水层不易磨薄，不会刮破~
125,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖防水修复的保质期是多久？",亲，未开封情况下保质期为12个月，请存放在阴凉干燥处哦~
126,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖涂料VOC含量高吗？里面应该没什么有害物质吧？",亲亲，我们的产品都是采用的环保材质，甲醛含量远低于国家标准（0.1mg/L），都是未检出的哈，确保安全无害哦~
127,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948&skuId=5967860619077
单组分免砸砖和其他款比起来有什么优点？",亲亲，单组份免砸砖开盖即用，使用起来会更加方便快捷，耐磨防滑，高硬度，耐腐蚀，适合室内高湿区的瓷砖地面。[发送免砸砖商品对比图]
128,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖商品有什么功能？",免砸砖防水主要功能有：直接刷在瓷砖表面，无需砸砖；高抗渗压力，有效解决漏水问题；晶透成膜，透明不改变瓷砖外观；耐腐蚀、耐磨损、防滑；绿色环保，VOC未检出，室内安心使用。单组分款开盖即用，无需搅拌，适合新手；聚脲款耐黄变、抗紫外线，适用于阳光照射区域；环氧款粘结力强，价格也更便宜。~[发送免砸砖商品对比图]
129,商品咨询与推荐,商品属性咨询,,免砸砖,"https://detail.tmall.com/item.htm?id=625940120948
免砸砖防水修复的商品日期是近期的吗？",您好，生产日期都是近期的哦，未拆封保质期12个月放心购买
130,商品咨询与推荐,商品效果预期,,免砸砖,免砸砖防水修复用后会有色差吗？时间久了容易褪色或变黄吗？,可以选择聚脲免砸砖防水，是透明色，耐候性强，不易变黄，是通过耐人工气候加速老化实验的哦[发送免砸砖商品对比图]
131,商品咨询与推荐,商品效果预期,,免砸砖,免砸砖防水修复做完后表面是哑光还是亮光的？,亲亲，单组分是哑光的，聚脲和透明防水是亮光的呢。[发送免砸砖商品对比图]
132,商品咨询与推荐,商品效果预期,免砸砖防水涂料的防水效果可保持8-12年，是长效防水解决方案,免砸砖,免砸砖防水效果能保持多久？,亲亲您好，免砸砖防水涂料的防水效果可以保持8-12年左右。这款产品采用双组分环氧配方，固化后形成坚固的防水层，耐久性好。施工时需要保持基面干燥清洁，按照正确方法施工才能达到最佳效果。这个施工教程您可以参考哦～https://cloud.video.taobao.com/vod/xV9C4T8ziNDUBtHwXr-2pdwPwPTaox-rBUujgEAcwek.mp4
133,商品咨询与推荐,商品效果预期,免砸砖防水涂料聚脲款和单组分款做了耐黄变升级，单组分款无惧日晒雨淋，长期泡水也不易发黄,免砸砖,免砸砖防水涂料会变黄吗？,亲亲您好，免砸砖防水涂料的聚脲款和单组分款都做了耐黄变升级。特别是单组分款，无惧日晒雨淋，长期泡水也不易发黄，适合对耐久性要求高的场景。如果是室内厨卫地面，基础款也能满足防水需求；如果是阳台、庭院等阳光常照的地方，建议选择单组分款。
134,商品咨询与推荐,商品效果预期,,免砸砖,免砸砖干了之后硬不硬？,亲亲，免砸砖干透后硬度表现优秀，尤其是单组分免砸砖防水，是通过48小时刮划测试，防水层具备6倍硬度，抗压耐磨，日常放心清洁打扫，防水层不易被磨损刮破的。
135,商品咨询与推荐,商品效果预期,,免砸砖,免砸砖防水修复做完后如果起皮脱落，有售后保障吗？,亲亲，正常施工且非人为损坏是不会脱落起皮的哦~如因产品质量问题，我们提供售后保障，请放心选购呢~
136,商品咨询与推荐,商品效果预期,,免砸砖,免砸砖效果怎么样？能用在室外吗？,亲亲，单组分和聚脲免砸砖都可以用在室外的哦。防水效果很哈，可长期浸水，这两款耐黄变性能优异，适合室外的瓷砖地面。~[发送免砸砖商品对比图]
137,商品咨询与推荐,商品用量咨询,免砸砖防水涂料一桶300g可涂刷约1-1.5㎡（约0.2mm厚），用量需根据实际面积计算,免砸砖,免砸砖涂料一桶能涂刷多少面积？,亲亲您好，免砸砖防水涂料一桶300g大约可以涂刷1-1.5平方米的面积，涂刷厚度约0.2mm。用量计算时需要先测量需要防水处理的实际面积，然后除以单桶涂刷面积得出所需桶数。建议适当预留冗余量，确保涂刷均匀、覆盖完整。
138,商品咨询与推荐,商品用量咨询,,免砸砖,免砸砖防水修复一罐有多少克？能刷多大面积？,免砸砖防水是300g/罐，一罐可涂刷约1~1.5㎡
139,商品咨询与推荐,适用场景匹配,卫生间瓷砖防水需要选择免砸砖防水涂料，施工前需保持基面干燥清洁，干透后才能正常使用卫生间,免砸砖,卫生间漏水可以用免砸砖防水涂料修复吗？,亲亲您好，卫生间瓷砖漏水可以使用免砸砖防水涂料修复。施工时需要注意：1.先清洁瓷砖表面，保持干燥施工；2.涂刷后等待干透再使用卫生间；3.这款产品防水效果可保持8-12年左右。适用于淋浴间、厕所等瓷砖区域的防水处理。
